date,state,fips,cases,deaths
21-01-2020,Washington,53,1,0
22-01-2020,Washington,53,1,0
23-01-2020,Washington,53,1,0
24-01-2020,Illinois,17,1,0
24-01-2020,Washington,53,1,0
25-01-2020,California,6,1,0
25-01-2020,Illinois,17,1,0
25-01-2020,Washington,53,1,0
26-01-2020,Arizona,4,1,0
26-01-2020,California,6,2,0
26-01-2020,Illinois,17,1,0
26-01-2020,Washington,53,1,0
27-01-2020,Arizona,4,1,0
27-01-2020,California,6,2,0
27-01-2020,Illinois,17,1,0
27-01-2020,Washington,53,1,0
28-01-2020,Arizona,4,1,0
28-01-2020,California,6,2,0
28-01-2020,Illinois,17,1,0
28-01-2020,Washington,53,1,0
29-01-2020,Arizona,4,1,0
29-01-2020,California,6,2,0
29-01-2020,Illinois,17,1,0
29-01-2020,Washington,53,1,0
30-01-2020,Arizona,4,1,0
30-01-2020,California,6,2,0
30-01-2020,Illinois,17,2,0
30-01-2020,Washington,53,1,0
31-01-2020,Arizona,4,1,0
31-01-2020,California,6,3,0
31-01-2020,Illinois,17,2,0
31-01-2020,Washington,53,1,0
01-02-2020,Arizona,4,1,0
01-02-2020,California,6,3,0
01-02-2020,Illinois,17,2,0
01-02-2020,Massachusetts,25,1,0
01-02-2020,Washington,53,1,0
02-02-2020,Arizona,4,1,0
02-02-2020,California,6,6,0
02-02-2020,Illinois,17,2,0
02-02-2020,Massachusetts,25,1,0
02-02-2020,Washington,53,1,0
03-02-2020,Arizona,4,1,0
03-02-2020,California,6,6,0
03-02-2020,Illinois,17,2,0
03-02-2020,Massachusetts,25,1,0
03-02-2020,Washington,53,1,0
04-02-2020,Arizona,4,1,0
04-02-2020,California,6,6,0
04-02-2020,Illinois,17,2,0
04-02-2020,Massachusetts,25,1,0
04-02-2020,Washington,53,1,0
05-02-2020,Arizona,4,1,0
05-02-2020,California,6,6,0
05-02-2020,Illinois,17,2,0
05-02-2020,Massachusetts,25,1,0
05-02-2020,Washington,53,1,0
05-02-2020,Wisconsin,55,1,0
06-02-2020,Arizona,4,1,0
06-02-2020,California,6,6,0
06-02-2020,Illinois,17,2,0
06-02-2020,Massachusetts,25,1,0
06-02-2020,Washington,53,1,0
06-02-2020,Wisconsin,55,1,0
07-02-2020,Arizona,4,1,0
07-02-2020,California,6,6,0
07-02-2020,Illinois,17,2,0
07-02-2020,Massachusetts,25,1,0
07-02-2020,Washington,53,1,0
07-02-2020,Wisconsin,55,1,0
08-02-2020,Arizona,4,1,0
08-02-2020,California,6,6,0
08-02-2020,Illinois,17,2,0
08-02-2020,Massachusetts,25,1,0
08-02-2020,Washington,53,1,0
08-02-2020,Wisconsin,55,1,0
09-02-2020,Arizona,4,1,0
09-02-2020,California,6,6,0
09-02-2020,Illinois,17,2,0
09-02-2020,Massachusetts,25,1,0
09-02-2020,Washington,53,1,0
09-02-2020,Wisconsin,55,1,0
10-02-2020,Arizona,4,1,0
10-02-2020,California,6,7,0
10-02-2020,Illinois,17,2,0
10-02-2020,Massachusetts,25,1,0
10-02-2020,Washington,53,1,0
10-02-2020,Wisconsin,55,1,0
11-02-2020,Arizona,4,1,0
11-02-2020,California,6,7,0
11-02-2020,Illinois,17,2,0
11-02-2020,Massachusetts,25,1,0
11-02-2020,Washington,53,1,0
11-02-2020,Wisconsin,55,1,0
12-02-2020,Arizona,4,1,0
12-02-2020,California,6,7,0
12-02-2020,Illinois,17,2,0
12-02-2020,Massachusetts,25,1,0
12-02-2020,Texas,48,1,0
12-02-2020,Washington,53,1,0
12-02-2020,Wisconsin,55,1,0
13-02-2020,Arizona,4,1,0
13-02-2020,California,6,7,0
13-02-2020,Illinois,17,2,0
13-02-2020,Massachusetts,25,1,0
13-02-2020,Texas,48,2,0
13-02-2020,Washington,53,1,0
13-02-2020,Wisconsin,55,1,0
14-02-2020,Arizona,4,1,0
14-02-2020,California,6,7,0
14-02-2020,Illinois,17,2,0
14-02-2020,Massachusetts,25,1,0
14-02-2020,Texas,48,2,0
14-02-2020,Washington,53,1,0
14-02-2020,Wisconsin,55,1,0
15-02-2020,Arizona,4,1,0
15-02-2020,California,6,7,0
15-02-2020,Illinois,17,2,0
15-02-2020,Massachusetts,25,1,0
15-02-2020,Texas,48,2,0
15-02-2020,Washington,53,1,0
15-02-2020,Wisconsin,55,1,0
16-02-2020,Arizona,4,1,0
16-02-2020,California,6,7,0
16-02-2020,Illinois,17,2,0
16-02-2020,Massachusetts,25,1,0
16-02-2020,Texas,48,2,0
16-02-2020,Washington,53,1,0
16-02-2020,Wisconsin,55,1,0
17-02-2020,Arizona,4,1,0
17-02-2020,California,6,7,0
17-02-2020,Illinois,17,2,0
17-02-2020,Massachusetts,25,1,0
17-02-2020,Nebraska,31,10,0
17-02-2020,Texas,48,2,0
17-02-2020,Washington,53,1,0
17-02-2020,Wisconsin,55,1,0
18-02-2020,Arizona,4,1,0
18-02-2020,California,6,7,0
18-02-2020,Illinois,17,2,0
18-02-2020,Massachusetts,25,1,0
18-02-2020,Nebraska,31,10,0
18-02-2020,Texas,48,2,0
18-02-2020,Washington,53,1,0
18-02-2020,Wisconsin,55,1,0
19-02-2020,Arizona,4,1,0
19-02-2020,California,6,7,0
19-02-2020,Illinois,17,2,0
19-02-2020,Massachusetts,25,1,0
19-02-2020,Nebraska,31,10,0
19-02-2020,Texas,48,2,0
19-02-2020,Washington,53,1,0
19-02-2020,Wisconsin,55,1,0
20-02-2020,Arizona,4,1,0
20-02-2020,California,6,8,0
20-02-2020,Illinois,17,2,0
20-02-2020,Massachusetts,25,1,0
20-02-2020,Nebraska,31,11,0
20-02-2020,Texas,48,2,0
20-02-2020,Washington,53,1,0
20-02-2020,Wisconsin,55,1,0
21-02-2020,Arizona,4,1,0
21-02-2020,California,6,9,0
21-02-2020,Illinois,17,2,0
21-02-2020,Massachusetts,25,1,0
21-02-2020,Nebraska,31,11,0
21-02-2020,Texas,48,4,0
21-02-2020,Washington,53,1,0
21-02-2020,Wisconsin,55,1,0
22-02-2020,Arizona,4,1,0
22-02-2020,California,6,9,0
22-02-2020,Illinois,17,2,0
22-02-2020,Massachusetts,25,1,0
22-02-2020,Nebraska,31,11,0
22-02-2020,Texas,48,4,0
22-02-2020,Washington,53,1,0
22-02-2020,Wisconsin,55,1,0
23-02-2020,Arizona,4,1,0
23-02-2020,California,6,9,0
23-02-2020,Illinois,17,2,0
23-02-2020,Massachusetts,25,1,0
23-02-2020,Nebraska,31,11,0
23-02-2020,Texas,48,4,0
23-02-2020,Washington,53,1,0
23-02-2020,Wisconsin,55,1,0
24-02-2020,Arizona,4,1,0
24-02-2020,California,6,11,0
24-02-2020,Illinois,17,2,0
24-02-2020,Massachusetts,25,1,0
24-02-2020,Nebraska,31,12,0
24-02-2020,Texas,48,10,0
24-02-2020,Washington,53,5,0
24-02-2020,Wisconsin,55,1,0
25-02-2020,Arizona,4,1,0
25-02-2020,California,6,11,0
25-02-2020,Illinois,17,2,0
25-02-2020,Massachusetts,25,1,0
25-02-2020,Nebraska,31,13,0
25-02-2020,Texas,48,10,0
25-02-2020,Utah,49,1,0
25-02-2020,Washington,53,5,0
25-02-2020,Wisconsin,55,1,0
26-02-2020,Arizona,4,1,0
26-02-2020,California,6,26,0
26-02-2020,Illinois,17,2,0
26-02-2020,Massachusetts,25,1,0
26-02-2020,Nebraska,31,13,0
26-02-2020,Texas,48,10,0
26-02-2020,Utah,49,1,0
26-02-2020,Washington,53,5,0
26-02-2020,Wisconsin,55,1,0
27-02-2020,Arizona,4,1,0
27-02-2020,California,6,26,0
27-02-2020,Illinois,17,2,0
27-02-2020,Massachusetts,25,1,0
27-02-2020,Nebraska,31,13,0
27-02-2020,Texas,48,10,0
27-02-2020,Utah,49,1,0
27-02-2020,Washington,53,5,0
27-02-2020,Wisconsin,55,1,0
28-02-2020,Arizona,4,1,0
28-02-2020,California,6,27,0
28-02-2020,Illinois,17,2,0
28-02-2020,Massachusetts,25,1,0
28-02-2020,Nebraska,31,13,0
28-02-2020,Oregon,41,1,0
28-02-2020,Texas,48,11,0
28-02-2020,Utah,49,1,0
28-02-2020,Washington,53,7,0
28-02-2020,Wisconsin,55,1,0
29-02-2020,Arizona,4,1,0
29-02-2020,California,6,28,0
29-02-2020,Illinois,17,3,0
29-02-2020,Massachusetts,25,1,0
29-02-2020,Nebraska,31,13,0
29-02-2020,Oregon,41,1,0
29-02-2020,Texas,48,11,0
29-02-2020,Utah,49,1,0
29-02-2020,Washington,53,10,1
29-02-2020,Wisconsin,55,1,0
01-03-2020,Arizona,4,1,0
01-03-2020,California,6,33,0
01-03-2020,Florida,12,2,0
01-03-2020,Illinois,17,3,0
01-03-2020,Massachusetts,25,1,0
01-03-2020,Nebraska,31,13,0
01-03-2020,New York,36,1,0
01-03-2020,Oregon,41,2,0
01-03-2020,Rhode Island,44,2,0
01-03-2020,Texas,48,11,0
01-03-2020,Utah,49,1,0
01-03-2020,Washington,53,17,3
01-03-2020,Wisconsin,55,1,0
02-03-2020,Arizona,4,1,0
02-03-2020,California,6,38,0
02-03-2020,Florida,12,2,0
02-03-2020,Georgia,13,2,0
02-03-2020,Illinois,17,4,0
02-03-2020,Massachusetts,25,2,0
02-03-2020,Nebraska,31,13,0
02-03-2020,New Hampshire,33,1,0
02-03-2020,New York,36,1,0
02-03-2020,Oregon,41,2,0
02-03-2020,Rhode Island,44,2,0
02-03-2020,Texas,48,11,0
02-03-2020,Utah,49,1,0
02-03-2020,Washington,53,23,6
02-03-2020,Wisconsin,55,1,0
03-03-2020,Arizona,4,2,0
03-03-2020,California,6,45,0
03-03-2020,Florida,12,3,0
03-03-2020,Georgia,13,2,0
03-03-2020,Illinois,17,4,0
03-03-2020,Massachusetts,25,2,0
03-03-2020,Nebraska,31,13,0
03-03-2020,New Hampshire,33,2,0
03-03-2020,New York,36,2,0
03-03-2020,North Carolina,37,1,0
03-03-2020,Oregon,41,2,0
03-03-2020,Rhode Island,44,2,0
03-03-2020,Texas,48,11,0
03-03-2020,Utah,49,1,0
03-03-2020,Washington,53,32,10
03-03-2020,Wisconsin,55,1,0
04-03-2020,Arizona,4,2,0
04-03-2020,California,6,55,1
04-03-2020,Florida,12,3,0
04-03-2020,Georgia,13,2,0
04-03-2020,Illinois,17,4,0
04-03-2020,Massachusetts,25,2,0
04-03-2020,Nebraska,31,13,0
04-03-2020,New Hampshire,33,2,0
04-03-2020,New Jersey,34,1,0
04-03-2020,New York,36,11,0
04-03-2020,North Carolina,37,1,0
04-03-2020,Oregon,41,2,0
04-03-2020,Rhode Island,44,2,0
04-03-2020,Texas,48,12,0
04-03-2020,Utah,49,1,0
04-03-2020,Washington,53,47,11
04-03-2020,Wisconsin,55,1,0
05-03-2020,Arizona,4,2,0
05-03-2020,California,6,67,1
05-03-2020,Colorado,8,2,0
05-03-2020,Florida,12,4,0
05-03-2020,Georgia,13,2,0
05-03-2020,Illinois,17,5,0
05-03-2020,Maryland,24,3,0
05-03-2020,Massachusetts,25,3,0
05-03-2020,Nebraska,31,13,0
05-03-2020,Nevada,32,2,0
